name,category,occasion,relationship,interests,personality,price,description
Minimal Pendant - Edition 6,Jewelry,Christmas,Colleague,fashion jewelry style accessories,"Techie, Practical",2200,"Minimal Pendant - Edition 6, curated for fashion lovers and suitable for christmas gifting."
Minimal Pendant - Edition 7,Jewelry,Friendship Day,Classmate,fashion jewelry style accessories,"Classic, Sentimental",2420,"Minimal Pendant - Edition 7, curated for fashion lovers and suitable for friendship day gifting."
Charm Bracelet - Edition 1,Jewelry,Valentines Day,Sibling,fashion jewelry style accessories,"Practical, Minimalist",1100,"Charm Bracelet - Edition 1, curated for fashion lovers and suitable for valentines day gifting."
Charm Bracelet - Edition 2,Jewelry,Graduation,Parent,fashion jewelry style accessories,"Adventurous, Extroverted",1320,"Charm Bracelet - Edition 2, curated for fashion lovers and suitable for graduation gifting."
Charm Bracelet - Edition 3,Jewelry,Housewarming,Family,fashion jewelry style accessories,"Introverted, Intellectual",1540,"Charm Bracelet - Edition 3, curated for fashion lovers and suitable for housewarming gifting."
Charm Bracelet - Edition 4,Jewelry,Farewell,Colleague,fashion jewelry style accessories,"Funny, Trendy",1760,"Charm Bracelet - Edition 4, curated for fashion lovers and suitable for farewell gifting."
Charm Bracelet - Edition 5,Jewelry,Christmas,Classmate,fashion jewelry style accessories,"Techie, Practical",1980,"Charm Bracelet - Edition 5, curated for fashion lovers and suitable for christmas gifting."
Charm Bracelet - Edition 6,Jewelry,Friendship Day,Mentor,fashion jewelry style accessories,"Classic, Sentimental",2200,"Charm Bracelet - Edition 6, curated for fashion lovers and suitable for friendship day gifting."
Charm Bracelet - Edition 7,Jewelry,Wedding,Partner,fashion jewelry style accessories,"Creative, Sentimental",2420,"Charm Bracelet - Edition 7, curated for fashion lovers and suitable for wedding gifting."
Initial Necklace - Edition 1,Jewelry,Graduation,Family,fashion jewelry style accessories,"Adventurous, Extroverted",1100,"Initial Necklace - Edition 1, curated for fashion lovers and suitable for graduation gifting."
Initial Necklace - Edition 2,Jewelry,Housewarming,Colleague,fashion jewelry style accessories,"Introverted, Intellectual",1320,"Initial Necklace - Edition 2, curated for fashion lovers and suitable for housewarming gifting."
Initial Necklace - Edition 3,Jewelry,Farewell,Classmate,fashion jewelry style accessories,"Funny, Trendy",1540,"Initial Necklace - Edition 3, curated for fashion lovers and suitable for farewell gifting."
Initial Necklace - Edition 4,Jewelry,Christmas,Mentor,fashion jewelry style accessories,"Techie, Practical",1760,"Initial Necklace - Edition 4, curated for fashion lovers and suitable for christmas gifting."
Initial Necklace - Edition 5,Jewelry,Friendship Day,Partner,fashion jewelry style accessories,"Classic, Sentimental",1980,"Initial Necklace - Edition 5, curated for fashion lovers and suitable for friendship day gifting."
Initial Necklace - Edition 6,Jewelry,Wedding,Best Friend,fashion jewelry style accessories,"Creative, Sentimental",2200,"Initial Necklace - Edition 6, curated for fashion lovers and suitable for wedding gifting."
Initial Necklace - Edition 7,Jewelry,Promotion,Friend,fashion jewelry style accessories,"Romantic, Stylish",2420,"Initial Necklace - Edition 7, curated for fashion lovers and suitable for promotion gifting."
Classic Stud Earrings - Edition 1,Jewelry,Housewarming,Classmate,fashion jewelry style accessories,"Introverted, Intellectual",1100,"Classic Stud Earrings - Edition 1, curated for fashion lovers and suitable for housewarming gifting."
Classic Stud Earrings - Edition 2,Jewelry,Farewell,Mentor,fashion jewelry style accessories,"Funny, Trendy",1320,"Classic Stud Earrings - Edition 2, curated for fashion lovers and suitable for farewell gifting."
Classic Stud Earrings - Edition 3,Jewelry,Christmas,Partner,fashion jewelry style accessories,"Techie, Practical",1540,"Classic Stud Earrings - Edition 3, curated for fashion lovers and suitable for christmas gifting."
Classic Stud Earrings - Edition 4,Jewelry,Friendship Day,Best Friend,fashion jewelry style accessories,"Classic, Sentimental",1760,"Classic Stud Earrings - Edition 4, curated for fashion lovers and suitable for friendship day gifting."
Classic Stud Earrings - Edition 5,Jewelry,Wedding,Friend,fashion jewelry style accessories,"Creative, Sentimental",1980,"Classic Stud Earrings - Edition 5, curated for fashion lovers and suitable for wedding gifting."
Classic Stud Earrings - Edition 6,Jewelry,Promotion,Sibling,fashion jewelry style accessories,"Romantic, Stylish",2200,"Classic Stud Earrings - Edition 6, curated for fashion lovers and suitable for promotion gifting."
Classic Stud Earrings - Edition 7,Jewelry,Thank You,Parent,fashion jewelry style accessories,"Practical, Minimalist",2420,"Classic Stud Earrings - Edition 7, curated for fashion lovers and suitable for thank you gifting."
Personalized Bracelet - Edition 1,Jewelry,Farewell,Partner,fashion jewelry style accessories,"Funny, Trendy",1100,"Personalized Bracelet - Edition 1, curated for fashion lovers and suitable for farewell gifting."
Personalized Bracelet - Edition 2,Jewelry,Christmas,Best Friend,fashion jewelry style accessories,"Techie, Practical",1320,"Personalized Bracelet - Edition 2, curated for fashion lovers and suitable for christmas gifting."
Personalized Bracelet - Edition 3,Jewelry,Friendship Day,Friend,fashion jewelry style accessories,"Classic, Sentimental",1540,"Personalized Bracelet - Edition 3, curated for fashion lovers and suitable for friendship day gifting."
Personalized Bracelet - Edition 4,Jewelry,Wedding,Sibling,fashion jewelry style accessories,"Creative, Sentimental",1760,"Personalized Bracelet - Edition 4, curated for fashion lovers and suitable for wedding gifting."
Personalized Bracelet - Edition 5,Jewelry,Promotion,Parent,fashion jewelry style accessories,"Romantic, Stylish",1980,"Personalized Bracelet - Edition 5, curated for fashion lovers and suitable for promotion gifting."
Personalized Bracelet - Edition 6,Jewelry,Thank You,Family,fashion jewelry style accessories,"Practical, Minimalist",2200,"Personalized Bracelet - Edition 6, curated for fashion lovers and suitable for thank you gifting."
Personalized Bracelet - Edition 7,Jewelry,Just Because,Colleague,fashion jewelry style accessories,"Adventurous, Extroverted",2420,"Personalized Bracelet - Edition 7, curated for fashion lovers and suitable for just because gifting."
Minimal Ring - Edition 1,Jewelry,Christmas,Friend,fashion jewelry style accessories,"Techie, Practical",1100,"Minimal Ring - Edition 1, curated for fashion lovers and suitable for christmas gifting."
Minimal Ring - Edition 2,Jewelry,Friendship Day,Sibling,fashion jewelry style accessories,"Classic, Sentimental",1320,"Minimal Ring - Edition 2, curated for fashion lovers and suitable for friendship day gifting."
Minimal Ring - Edition 3,Jewelry,Wedding,Parent,fashion jewelry style accessories,"Creative, Sentimental",1540,"Minimal Ring - Edition 3, curated for fashion lovers and suitable for wedding gifting."
Minimal Ring - Edition 4,Jewelry,Promotion,Family,fashion jewelry style accessories,"Romantic, Stylish",1760,"Minimal Ring - Edition 4, curated for fashion lovers and suitable for promotion gifting."
Minimal Ring - Edition 5,Jewelry,Thank You,Colleague,fashion jewelry style accessories,"Practical, Minimalist",1980,"Minimal Ring - Edition 5, curated for fashion lovers and suitable for thank you gifting."
Minimal Ring - Edition 6,Jewelry,Just Because,Classmate,fashion jewelry style accessories,"Adventurous, Extroverted",2200,"Minimal Ring - Edition 6, curated for fashion lovers and suitable for just because gifting."
Minimal Ring - Edition 7,Jewelry,Birthday,Mentor,fashion jewelry style accessories,"Introverted, Intellectual",2420,"Minimal Ring - Edition 7, curated for fashion lovers and suitable for birthday gifting."
Birthstone Pendant - Edition 1,Jewelry,Friendship Day,Parent,fashion jewelry style accessories,"Classic, Sentimental",1100,"Birthstone Pendant - Edition 1, curated for fashion lovers and suitable for friendship day gifting."
Birthstone Pendant - Edition 2,Jewelry,Wedding,Family,fashion jewelry style accessories,"Creative, Sentimental",1320,"Birthstone Pendant - Edition 2, curated for fashion lovers and suitable for wedding gifting."
Birthstone Pendant - Edition 3,Jewelry,Promotion,Colleague,fashion jewelry style accessories,"Romantic, Stylish",1540,"Birthstone Pendant - Edition 3, curated for fashion lovers and suitable for promotion gifting."
Birthstone Pendant - Edition 4,Jewelry,Thank You,Classmate,fashion jewelry style accessories,"Practical, Minimalist",1760,"Birthstone Pendant - Edition 4, curated for fashion lovers and suitable for thank you gifting."
Birthstone Pendant - Edition 5,Jewelry,Just Because,Mentor,fashion jewelry style accessories,"Adventurous, Extroverted",1980,"Birthstone Pendant - Edition 5, curated for fashion lovers and suitable for just because gifting."
Birthstone Pendant - Edition 6,Jewelry,Birthday,Partner,fashion jewelry style accessories,"Introverted, Intellectual",2200,"Birthstone Pendant - Edition 6, curated for fashion lovers and suitable for birthday gifting."
Birthstone Pendant - Edition 7,Jewelry,Anniversary,Best Friend,fashion jewelry style accessories,"Funny, Trendy",2420,"Birthstone Pendant - Edition 7, curated for fashion lovers and suitable for anniversary gifting."
Layered Necklace Set - Edition 1,Jewelry,Wedding,Colleague,fashion jewelry style accessories,"Creative, Sentimental",1100,"Layered Necklace Set - Edition 1, curated for fashion lovers and suitable for wedding gifting."
Layered Necklace Set - Edition 2,Jewelry,Promotion,Classmate,fashion jewelry style accessories,"Romantic, Stylish",1320,"Layered Necklace Set - Edition 2, curated for fashion lovers and suitable for promotion gifting."
Layered Necklace Set - Edition 3,Jewelry,Thank You,Mentor,fashion jewelry style accessories,"Practical, Minimalist",1540,"Layered Necklace Set - Edition 3, curated for fashion lovers and suitable for thank you gifting."
Layered Necklace Set - Edition 4,Jewelry,Just Because,Partner,fashion jewelry style accessories,"Adventurous, Extroverted",1760,"Layered Necklace Set - Edition 4, curated for fashion lovers and suitable for just because gifting."
Layered Necklace Set - Edition 5,Jewelry,Birthday,Best Friend,fashion jewelry style accessories,"Introverted, Intellectual",1980,"Layered Necklace Set - Edition 5, curated for fashion lovers and suitable for birthday gifting."
Layered Necklace Set - Edition 6,Jewelry,Anniversary,Friend,fashion jewelry style accessories,"Funny, Trendy",2200,"Layered Necklace Set - Edition 6, curated for fashion lovers and suitable for anniversary gifting."
Layered Necklace Set - Edition 7,Jewelry,Valentines Day,Sibling,fashion jewelry style accessories,"Techie, Practical",2420,"Layered Necklace Set - Edition 7, curated for fashion lovers and suitable for valentines day gifting."
Leather Wallet - Edition 1,Accessories,Anniversary,Best Friend,fashion style everyday essentials,"Romantic, Stylish",600,"Leather Wallet - Edition 1, curated for fashion lovers and suitable for anniversary gifting."
Leather Wallet - Edition 2,Accessories,Valentines Day,Friend,fashion style everyday essentials,"Practical, Minimalist",720,"Leather Wallet - Edition 2, curated for fashion lovers and suitable for valentines day gifting."
Leather Wallet - Edition 3,Accessories,Graduation,Sibling,fashion style everyday essentials,"Adventurous, Extroverted",840,"Leather Wallet - Edition 3, curated for fashion lovers and suitable for graduation gifting."
Leather Wallet - Edition 4,Accessories,Housewarming,Parent,fashion style everyday essentials,"Introverted, Intellectual",960,"Leather Wallet - Edition 4, curated for fashion lovers and suitable for housewarming gifting."
Leather Wallet - Edition 5,Accessories,Farewell,Family,fashion style everyday essentials,"Funny, Trendy",1080,"Leather Wallet - Edition 5, curated for fashion lovers and suitable for farewell gifting."
Leather Wallet - Edition 6,Accessories,Christmas,Colleague,fashion style everyday essentials,"Techie, Practical",1200,"Leather Wallet - Edition 6, curated for fashion lovers and suitable for christmas gifting."
Leather Wallet - Edition 7,Accessories,Friendship Day,Classmate,fashion style everyday essentials,"Classic, Sentimental",1320,"Leather Wallet - Edition 7, curated for fashion lovers and suitable for friendship day gifting."
Card Holder - Edition 1,Accessories,Valentines Day,Sibling,fashion style everyday essentials,"Practical, Minimalist",600,"Card Holder - Edition 1, curated for fashion lovers and suitable for valentines day gifting."
Card Holder - Edition 2,Accessories,Graduation,Parent,fashion style everyday essentials,"Adventurous, Extroverted",720,"Card Holder - Edition 2, curated for fashion lovers and suitable for graduation gifting."
Card Holder - Edition 3,Accessories,Housewarming,Family,fashion style everyday essentials,"Introverted, Intellectual",840,"Card Holder - Edition 3, curated for fashion lovers and suitable for housewarming gifting."
Card Holder - Edition 4,Accessories,Farewell,Colleague,fashion style everyday essentials,"Funny, Trendy",960,"Card Holder - Edition 4, curated for fashion lovers and suitable for farewell gifting."
Card Holder - Edition 5,Accessories,Christmas,Classmate,fashion style everyday essentials,"Techie, Practical",1080,"Card Holder - Edition 5, curated for fashion lovers and suitable for christmas gifting."
Card Holder - Edition 6,Accessories,Friendship Day,Mentor,fashion style everyday essentials,"Classic, Sentimental",1200,"Card Holder - Edition 6, curated for fashion lovers and suitable for friendship day gifting."
Card Holder - Edition 7,Accessories,Wedding,Partner,fashion style everyday essentials,"Creative, Sentimental",1320,"Card Holder - Edition 7, curated for fashion lovers and suitable for wedding gifting."
Classic Sunglasses - Edition 1,Accessories,Graduation,Family,fashion style everyday essentials,"Adventurous, Extroverted",600,"Classic Sunglasses - Edition 1, curated for fashion lovers and suitable for graduation gifting."
Classic Sunglasses - Edition 2,Accessories,Housewarming,Colleague,fashion style everyday essentials,"Introverted, Intellectual",720,"Classic Sunglasses - Edition 2, curated for fashion lovers and suitable for housewarming gifting."
Classic Sunglasses - Edition 3,Accessories,Farewell,Classmate,fashion style everyday essentials,"Funny, Trendy",840,"Classic Sunglasses - Edition 3, curated for fashion lovers and suitable for farewell gifting."
Classic Sunglasses - Edition 4,Accessories,Christmas,Mentor,fashion style everyday essentials,"Techie, Practical",960,"Classic Sunglasses - Edition 4, curated for fashion lovers and suitable for christmas gifting."
Classic Sunglasses - Edition 5,Accessories,Friendship Day,Partner,fashion style everyday essentials,"Classic, Sentimental",1080,"Classic Sunglasses - Edition 5, curated for fashion lovers and suitable for friendship day gifting."
Classic Sunglasses - Edition 6,Accessories,Wedding,Best Friend,fashion style everyday essentials,"Creative, Sentimental",1200,"Classic Sunglasses - Edition 6, curated for fashion lovers and suitable for wedding gifting."
Classic Sunglasses - Edition 7,Accessories,Promotion,Friend,fashion style everyday essentials,"Romantic, Stylish",1320,"Classic Sunglasses - Edition 7, curated for fashion lovers and suitable for promotion gifting."
Minimal Watch - Edition 1,Accessories,Housewarming,Classmate,fashion style everyday essentials,"Introverted, Intellectual",600,"Minimal Watch - Edition 1, curated for fashion lovers and suitable for housewarming gifting."
Minimal Watch - Edition 2,Accessories,Farewell,Mentor,fashion style everyday essentials,"Funny, Trendy",720,"Minimal Watch - Edition 2, curated for fashion lovers and suitable for farewell gifting."
Minimal Watch - Edition 3,Accessories,Christmas,Partner,fashion style everyday essentials,"Techie, Practical",840,"Minimal Watch - Edition 3, curated for fashion lovers and suitable for christmas gifting."
Minimal Watch - Edition 4,Accessories,Friendship Day,Best Friend,fashion style everyday essentials,"Classic, Sentimental",960,"Minimal Watch - Edition 4, curated for fashion lovers and suitable for friendship day gifting."
Minimal Watch - Edition 5,Accessories,Wedding,Friend,fashion style everyday essentials,"Creative, Sentimental",1080,"Minimal Watch - Edition 5, curated for fashion lovers and suitable for wedding gifting."
Minimal Watch - Edition 6,Accessories,Promotion,Sibling,fashion style everyday essentials,"Romantic, Stylish",1200,"Minimal Watch - Edition 6, curated for fashion lovers and suitable for promotion gifting."
Minimal Watch - Edition 7,Accessories,Thank You,Parent,fashion style everyday essentials,"Practical, Minimalist",1320,"Minimal Watch - Edition 7, curated for fashion lovers and suitable for thank you gifting."
Canvas Tote Bag - Edition 1,Accessories,Farewell,Partner,fashion style everyday essentials,"Funny, Trendy",600,"Canvas Tote Bag - Edition 1, curated for fashion lovers and suitable for farewell gifting."
Canvas Tote Bag - Edition 2,Accessories,Christmas,Best Friend,fashion style everyday essentials,"Techie, Practical",720,"Canvas Tote Bag - Edition 2, curated for fashion lovers and suitable for christmas gifting."
Canvas Tote Bag - Edition 3,Accessories,Friendship Day,Friend,fashion style everyday essentials,"Classic, Sentimental",840,"Canvas Tote Bag - Edition 3, curated for fashion lovers and suitable for friendship day gifting."
Canvas Tote Bag - Edition 4,Accessories,Wedding,Sibling,fashion style everyday essentials,"Creative, Sentimental",960,"Canvas Tote Bag - Edition 4, curated for fashion lovers and suitable for wedding gifting."
Canvas Tote Bag - Edition 5,Accessories,Promotion,Parent,fashion style everyday essentials,"Romantic, Stylish",1080,"Canvas Tote Bag - Edition 5, curated for fashion lovers and suitable for promotion gifting."
Canvas Tote Bag - Edition 6,Accessories,Thank You,Family,fashion style everyday essentials,"Practical, Minimalist",1200,"Canvas Tote Bag - Edition 6, curated for fashion lovers and suitable for thank you gifting."
Canvas Tote Bag - Edition 7,Accessories,Just Because,Colleague,fashion style everyday essentials,"Adventurous, Extroverted",1320,"Canvas Tote Bag - Edition 7, curated for fashion lovers and suitable for just because gifting."
Keychain Gift Set - Edition 1,Accessories,Christmas,Friend,fashion style everyday essentials,"Techie, Practical",600,"Keychain Gift Set - Edition 1, curated for fashion lovers and suitable for christmas gifting."
Keychain Gift Set - Edition 2,Accessories,Friendship Day,Sibling,fashion style everyday essentials,"Classic, Sentimental",720,"Keychain Gift Set - Edition 2, curated for fashion lovers and suitable for friendship day gifting."
Keychain Gift Set - Edition 3,Accessories,Wedding,Parent,fashion style everyday essentials,"Creative, Sentimental",840,"Keychain Gift Set - Edition 3, curated for fashion lovers and suitable for wedding gifting."
Keychain Gift Set - Edition 4,Accessories,Promotion,Family,fashion style everyday essentials,"Romantic, Stylish",960,"Keychain Gift Set - Edition 4, curated for fashion lovers and suitable for promotion gifting."
Keychain Gift Set - Edition 5,Accessories,Thank You,Colleague,fashion style everyday essentials,"Practical, Minimalist",1080,"Keychain Gift Set - Edition 5, curated for fashion lovers and suitable for thank you gifting."
Keychain Gift Set - Edition 6,Accessories,Just Because,Classmate,fashion style everyday essentials,"Adventurous, Extroverted",1200,"Keychain Gift Set - Edition 6, curated for fashion lovers and suitable for just because gifting."
Keychain Gift Set - Edition 7,Accessories,Birthday,Mentor,fashion style everyday essentials,"Introverted, Intellectual",1320,"Keychain Gift Set - Edition 7, curated for fashion lovers and suitable for birthday gifting."
Belt and Wallet Set - Edition 1,Accessories,Friendship Day,Parent,fashion style everyday essentials,"Classic, Sentimental",600,"Belt and Wallet Set - Edition 1, curated for fashion lovers and suitable for friendship day gifting."
Belt and Wallet Set - Edition 2,Accessories,Wedding,Family,fashion style everyday essentials,"Creative, Sentimental",720,"Belt and Wallet Set - Edition 2, curated for fashion lovers and suitable for wedding gifting."
Belt and Wallet Set - Edition 3,Accessories,Promotion,Colleague,fashion style everyday essentials,"Romantic, Stylish",840,"Belt and Wallet Set - Edition 3, curated for fashion lovers and suitable for promotion gifting."
Belt and Wallet Set - Edition 4,Accessories,Thank You,Classmate,fashion style everyday essentials,"Practical, Minimalist",960,"Belt and Wallet Set - Edition 4, curated for fashion lovers and suitable for thank you gifting."
Belt and Wallet Set - Edition 5,Accessories,Just Because,Mentor,fashion style everyday essentials,"Adventurous, Extroverted",1080,"Belt and Wallet Set - Edition 5, curated for fashion lovers and suitable for just because gifting."
Belt and Wallet Set - Edition 6,Accessories,Birthday,Partner,fashion style everyday essentials,"Introverted, Intellectual",1200,"Belt and Wallet Set - Edition 6, curated for fashion lovers and suitable for birthday gifting."
Belt and Wallet Set - Edition 7,Accessories,Anniversary,Best Friend,fashion style everyday essentials,"Funny, Trendy",1320,"Belt and Wallet Set - Edition 7, curated for fashion lovers and suitable for anniversary gifting."
Personalized Pouch - Edition 1,Accessories,Wedding,Colleague,fashion style everyday essentials,"Creative, Sentimental",600,"Personalized Pouch - Edition 1, curated for fashion lovers and suitable for wedding gifting."
Personalized Pouch - Edition 2,Accessories,Promotion,Classmate,fashion style everyday essentials,"Romantic, Stylish",720,"Personalized Pouch - Edition 2, curated for fashion lovers and suitable for promotion gifting."
Personalized Pouch - Edition 3,Accessories,Thank You,Mentor,fashion style everyday essentials,"Practical, Minimalist",840,"Personalized Pouch - Edition 3, curated for fashion lovers and suitable for thank you gifting."
Personalized Pouch - Edition 4,Accessories,Just Because,Partner,fashion style everyday essentials,"Adventurous, Extroverted",960,"Personalized Pouch - Edition 4, curated for fashion lovers and suitable for just because gifting."
Personalized Pouch - Edition 5,Accessories,Birthday,Best Friend,fashion style everyday essentials,"Introverted, Intellectual",1080,"Personalized Pouch - Edition 5, curated for fashion lovers and suitable for birthday gifting."
Personalized Pouch - Edition 6,Accessories,Anniversary,Friend,fashion style everyday essentials,"Funny, Trendy",1200,"Personalized Pouch - Edition 6, curated for fashion lovers and suitable for anniversary gifting."
Personalized Pouch - Edition 7,Accessories,Valentines Day,Sibling,fashion style everyday essentials,"Techie, Practical",1320,"Personalized Pouch - Edition 7, curated for fashion lovers and suitable for valentines day gifting."
Vinyl Record Gift - Edition 1,Music,Anniversary,Best Friend,music concerts audio creativity,"Romantic, Stylish",750,"Vinyl Record Gift - Edition 1, curated for music lovers and suitable for anniversary gifting."
Vinyl Record Gift - Edition 2,Music,Valentines Day,Friend,music concerts audio creativity,"Practical, Minimalist",900,"Vinyl Record Gift - Edition 2, curated for music lovers and suitable for valentines day gifting."
Vinyl Record Gift - Edition 3,Music,Graduation,Sibling,music concerts audio creativity,"Adventurous, Extroverted",1050,"Vinyl Record Gift - Edition 3, curated for music lovers and suitable for graduation gifting."
Vinyl Record Gift - Edition 4,Music,Housewarming,Parent,music concerts audio creativity,"Introverted, Intellectual",1200,"Vinyl Record Gift - Edition 4, curated for music lovers and suitable for housewarming gifting."
Vinyl Record Gift - Edition 5,Music,Farewell,Family,music concerts audio creativity,"Funny, Trendy",1350,"Vinyl Record Gift - Edition 5, curated for music lovers and suitable for farewell gifting."
Vinyl Record Gift - Edition 6,Music,Christmas,Colleague,music concerts audio creativity,"Techie, Practical",1500,"Vinyl Record Gift - Edition 6, curated for music lovers and suitable for christmas gifting."
Vinyl Record Gift - Edition 7,Music,Friendship Day,Classmate,music concerts audio creativity,"Classic, Sentimental",1650,"Vinyl Record Gift - Edition 7, curated for music lovers and suitable for friendship day gifting."
Bluetooth Speaker Mini - Edition 1,Music,Valentines Day,Sibling,music concerts audio creativity,"Practical, Minimalist",750,"Bluetooth Speaker Mini - Edition 1, curated for music lovers and suitable for valentines day gifting."
Bluetooth Speaker Mini - Edition 2,Music,Graduation,Parent,music concerts audio creativity,"Adventurous, Extroverted",900,"Bluetooth Speaker Mini - Edition 2, curated for music lovers and suitable for graduation gifting."
Bluetooth Speaker Mini - Edition 3,Music,Housewarming,Family,music concerts audio creativity,"Introverted, Intellectual",1050,"Bluetooth Speaker Mini - Edition 3, curated for music lovers and suitable for housewarming gifting."
Bluetooth Speaker Mini - Edition 4,Music,Farewell,Colleague,music concerts audio creativity,"Funny, Trendy",1200,"Bluetooth Speaker Mini - Edition 4, curated for music lovers and suitable for farewell gifting."
Bluetooth Speaker Mini - Edition 5,Music,Christmas,Classmate,music concerts audio creativity,"Techie, Practical",1350,"Bluetooth Speaker Mini - Edition 5, curated for music lovers and suitable for christmas gifting."
Bluetooth Speaker Mini - Edition 6,Music,Friendship Day,Mentor,music concerts audio creativity,"Classic, Sentimental",1500,"Bluetooth Speaker Mini - Edition 6, curated for music lovers and suitable for friendship day gifting."
Bluetooth Speaker Mini - Edition 7,Music,Wedding,Partner,music concerts audio creativity,"Creative, Sentimental",1650,"Bluetooth Speaker Mini - Edition 7, curated for music lovers and suitable for wedding gifting."
Music Journal - Edition 1,Music,Graduation,Family,music concerts audio creativity,"Adventurous, Extroverted",750,"Music Journal - Edition 1, curated for music lovers and suitable for graduation gifting."
Music Journal - Edition 2,Music,Housewarming,Colleague,music concerts audio creativity,"Introverted, Intellectual",900,"Music Journal - Edition 2, curated for music lovers and suitable for housewarming gifting."
Music Journal - Edition 3,Music,Farewell,Classmate,music concerts audio creativity,"Funny, Trendy",1050,"Music Journal - Edition 3, curated for music lovers and suitable for farewell gifting."
Music Journal - Edition 4,Music,Christmas,Mentor,music concerts audio creativity,"Techie, Practical",1200,"Music Journal - Edition 4, curated for music lovers and suitable for christmas gifting."
Music Journal - Edition 5,Music,Friendship Day,Partner,music concerts audio creativity,"Classic, Sentimental",1350,"Music Journal - Edition 5, curated for music lovers and suitable for friendship day gifting."
Music Journal - Edition 6,Music,Wedding,Best Friend,music concerts audio creativity,"Creative, Sentimental",1500,"Music Journal - Edition 6, curated for music lovers and suitable for wedding gifting."
Music Journal - Edition 7,Music,Promotion,Friend,music concerts audio creativity,"Romantic, Stylish",1650,"Music Journal - Edition 7, curated for music lovers and suitable for promotion gifting."
Guitar Pick Set - Edition 1,Music,Housewarming,Classmate,music concerts audio creativity,"Introverted, Intellectual",750,"Guitar Pick Set - Edition 1, curated for music lovers and suitable for housewarming gifting."
Guitar Pick Set - Edition 2,Music,Farewell,Mentor,music concerts audio creativity,"Funny, Trendy",900,"Guitar Pick Set - Edition 2, curated for music lovers and suitable for farewell gifting."
Guitar Pick Set - Edition 3,Music,Christmas,Partner,music concerts audio creativity,"Techie, Practical",1050,"Guitar Pick Set - Edition 3, curated for music lovers and suitable for christmas gifting."
Guitar Pick Set - Edition 4,Music,Friendship Day,Best Friend,music concerts audio creativity,"Classic, Sentimental",1200,"Guitar Pick Set - Edition 4, curated for music lovers and suitable for friendship day gifting."
Guitar Pick Set - Edition 5,Music,Wedding,Friend,music concerts audio creativity,"Creative, Sentimental",1350,"Guitar Pick Set - Edition 5, curated for music lovers and suitable for wedding gifting."
Guitar Pick Set - Edition 6,Music,Promotion,Sibling,music concerts audio creativity,"Romantic, Stylish",1500,"Guitar Pick Set - Edition 6, curated for music lovers and suitable for promotion gifting."
Guitar Pick Set - Edition 7,Music,Thank You,Parent,music concerts audio creativity,"Practical, Minimalist",1650,"Guitar Pick Set - Edition 7, curated for music lovers and suitable for thank you gifting."
Ukulele Accessory Kit - Edition 1,Music,Farewell,Partner,music concerts audio creativity,"Funny, Trendy",750,"Ukulele Accessory Kit - Edition 1, curated for music lovers and suitable for farewell gifting."
Ukulele Accessory Kit - Edition 2,Music,Christmas,Best Friend,music concerts audio creativity,"Techie, Practical",900,"Ukulele Accessory Kit - Edition 2, curated for music lovers and suitable for christmas gifting."
Ukulele Accessory Kit - Edition 3,Music,Friendship Day,Friend,music concerts audio creativity,"Classic, Sentimental",1050,"Ukulele Accessory Kit - Edition 3, curated for music lovers and suitable for friendship day gifting."
Ukulele Accessory Kit - Edition 4,Music,Wedding,Sibling,music concerts audio creativity,"Creative, Sentimental",1200,"Ukulele Accessory Kit - Edition 4, curated for music lovers and suitable for wedding gifting."
Ukulele Accessory Kit - Edition 5,Music,Promotion,Parent,music concerts audio creativity,"Romantic, Stylish",1350,"Ukulele Accessory Kit - Edition 5, curated for music lovers and suitable for promotion gifting."
Ukulele Accessory Kit - Edition 6,Music,Thank You,Family,music concerts audio creativity,"Practical, Minimalist",1500,"Ukulele Accessory Kit - Edition 6, curated for music lovers and suitable for thank you gifting."
Ukulele Accessory Kit - Edition 7,Music,Just Because,Colleague,music concerts audio creativity,"Adventurous, Extroverted",1650,"Ukulele Accessory Kit - Edition 7, curated for music lovers and suitable for just because gifting."
Headphone Stand - Edition 1,Music,Christmas,Friend,music concerts audio creativity,"Techie, Practical",750,"Headphone Stand - Edition 1, curated for music lovers and suitable for christmas gifting."
Headphone Stand - Edition 2,Music,Friendship Day,Sibling,music concerts audio creativity,"Classic, Sentimental",900,"Headphone Stand - Edition 2, curated for music lovers and suitable for friendship day gifting."
Headphone Stand - Edition 3,Music,Wedding,Parent,music concerts audio creativity,"Creative, Sentimental",1050,"Headphone Stand - Edition 3, curated for music lovers and suitable for wedding gifting."
Headphone Stand - Edition 4,Music,Promotion,Family,music concerts audio creativity,"Romantic, Stylish",1200,"Headphone Stand - Edition 4, curated for music lovers and suitable for promotion gifting."
Headphone Stand - Edition 5,Music,Thank You,Colleague,music concerts audio creativity,"Practical, Minimalist",1350,"Headphone Stand - Edition 5, curated for music lovers and suitable for thank you gifting."
Headphone Stand - Edition 6,Music,Just Because,Classmate,music concerts audio creativity,"Adventurous, Extroverted",1500,"Headphone Stand - Edition 6, curated for music lovers and suitable for just because gifting."
Headphone Stand - Edition 7,Music,Birthday,Mentor,music concerts audio creativity,"Introverted, Intellectual",1650,"Headphone Stand - Edition 7, curated for music lovers and suitable for birthday gifting."
